bahan_a	bahan_b	senyawa_toksik	gejala	level	sumber	deskripsi
Angle Food Deluxe Cake Mix	f	f	The composition includes several processed ingredients like sugar and artificial flavor, raising quality concerns. Sodium lauryl sulfate is a synthetic additive that may pose safety issues.	warning	Zerotox/Open Food Facts	The composition includes several processed ingredients like sugar and artificial flavor, raising quality concerns. Sodium lauryl sulfate is a synthetic additive that may pose safety issues.
Angel Food Cake Mix	f	f	The composition includes sugar and artificial flavor, indicating a high level of processing. Sodium lauryl sulfate raises concerns due to its synthetic nature, contributing to the low rating.	warning	Zerotox/Open Food Facts	The composition includes sugar and artificial flavor, indicating a high level of processing. Sodium lauryl sulfate raises concerns due to its synthetic nature, contributing to the low rating.
Great Value Deluxe Moist White Cake Mix	f	f	The composition includes several synthetic additives like propylene glycol mono- and diesters and BHT, which raise quality concerns. The presence of artificial flavor and preservatives further indicat	warning	Zerotox/Open Food Facts	The composition includes several synthetic additives like propylene glycol mono- and diesters and BHT, which raise quality concerns. The presence of artificial flavor and preservatives further indicates a highly processed product.
Angel Food Cake Mix	f	f	The composition includes sugar and bleached wheat flour, which are highly processed and raise quality concerns. Additionally, sodium lauryl sulfate is a synthetic ingredient used as a whipping aid, in	warning	Zerotox/Open Food Facts	The composition includes sugar and bleached wheat flour, which are highly processed and raise quality concerns. Additionally, sodium lauryl sulfate is a synthetic ingredient used as a whipping aid, indicating potential safety issues associated with synthetic additives in food products.
Préparation Cake Au Caramel - 1KG - Funcakes	f	f	The composition includes several synthetic additives like E450 and E202, which raise concerns about quality and safety. The presence of palm oil derivatives also indicates a highly processed product.	warning	Zerotox/Open Food Facts	The composition includes several synthetic additives like E450 and E202, which raise concerns about quality and safety. The presence of palm oil derivatives also indicates a highly processed product.
Brownie Mix	f	f	The composition includes sugar and enriched bleached wheat flour, which are common in baked goods but raise concerns about high glycemic index and processing. The presence of animal shortening and veg	warning	Zerotox/Open Food Facts	The composition includes sugar and enriched bleached wheat flour, which are common in baked goods but raise concerns about high glycemic index and processing. The presence of animal shortening and vegetable oil indicates a mix of fats, while preservatives like BHT and citric acid suggest a highly processed product, impacting overall quality and safety.
Deluxe Moist Cake Mix	f	f	The composition includes sugar and enriched bleached flour, which are common in cake mixes but raise concerns due to high sugar content and the use of bleached flour. Additionally, vegetable shortenin	warning	Zerotox/Open Food Facts	The composition includes sugar and enriched bleached flour, which are common in cake mixes but raise concerns due to high sugar content and the use of bleached flour. Additionally, vegetable shortening, which may contain palm oil, introduces further quality concerns related to processing and potential environmental impact.
Dark Chocolate Fudge Brownie Mix	f	f	The composition includes sugar and enriched bleached wheat flour, which are highly processed. The presence of artificial flavor and palm oil raises significant quality concerns.	warning	Zerotox/Open Food Facts	The composition includes sugar and enriched bleached wheat flour, which are highly processed. The presence of artificial flavor and palm oil raises significant quality concerns.
Spartan, devil's food deluxe moist cake mix	f	f	The composition includes sugar and enriched bleached flour, which are common in cake mixes but raise concerns about high glycemic index and nutrient loss. Additionally, the presence of artificial flav	warning	Zerotox/Open Food Facts	The composition includes sugar and enriched bleached flour, which are common in cake mixes but raise concerns about high glycemic index and nutrient loss. Additionally, the presence of artificial flavor and preservatives like BHT indicates a highly processed product, contributing to the overall low rating due to quality concerns.
Butter Recipe Cake Mix Naturally Flavored	f	f	The composition includes sugar and enriched bleached flour, which are common in cake mixes but raise concerns due to high processing. Additionally, vegetable shortening contains palm and/or soybean oi	warning	Zerotox/Open Food Facts	The composition includes sugar and enriched bleached flour, which are common in cake mixes but raise concerns due to high processing. Additionally, vegetable shortening contains palm and/or soybean oil, which can have environmental implications. The presence of artificial colors (Yellow 5, Yellow 6) and preservatives (BHT) further indicates a highly processed product with potential quality concerns.
Préparation pour Muffins au Chocolat	f	f	The composition includes sodium caseinate, a milk-derived protein, and hydrogenated coconut oil, raising concerns about processed ingredients. The presence of glucose syrup and raising agents further 	warning	Zerotox/Open Food Facts	The composition includes sodium caseinate, a milk-derived protein, and hydrogenated coconut oil, raising concerns about processed ingredients. The presence of glucose syrup and raising agents further indicates a highly processed product.
Halloweeen Funfetti Sugar Cookie Mix With Candy Bits	f	f	The ingredient composition includes several synthetic additives such as artificial flavors and colors, which raise quality and safety concerns. The presence of palm oil and artificial colors further i	warning	Zerotox/Open Food Facts	The ingredient composition includes several synthetic additives such as artificial flavors and colors, which raise quality and safety concerns. The presence of palm oil and artificial colors further indicates a highly processed product.
Pillsbury, Funfetti, Premium Sugar Cookie Mix With Candy Bits	f	f	The ingredient composition includes several synthetic additives such as modified corn starch and artificial colors (Yellow 5, Red 40, Blue 1, Yellow 6), raising significant quality concerns. The prese	warning	Zerotox/Open Food Facts	The ingredient composition includes several synthetic additives such as modified corn starch and artificial colors (Yellow 5, Red 40, Blue 1, Yellow 6), raising significant quality concerns. The presence of palm oil also indicates a less favorable sourcing practice.
Sugar Cookie Holiday Mega Pan Cookie Mix, Sugar Cookie	f	f	The ingredient list includes several synthetic additives such as sodium lauryl sulfate and artificial colors (Red 40, Blue 1, Yellow 5, Yellow 6), indicating a highly processed composition with signif	warning	Zerotox/Open Food Facts	The ingredient list includes several synthetic additives such as sodium lauryl sulfate and artificial colors (Red 40, Blue 1, Yellow 5, Yellow 6), indicating a highly processed composition with significant quality concerns.
Great Value Deluxe Moist Yellow Cake Mix	f	f	The composition includes several synthetic additives like sodium aluminum phosphate and BHT, raising concerns about quality and safety. The presence of artificial colors further indicates a highly pro	warning	Zerotox/Open Food Facts	The composition includes several synthetic additives like sodium aluminum phosphate and BHT, raising concerns about quality and safety. The presence of artificial colors further indicates a highly processed product.
Gluten free classic yellow cake mix	f	f	The composition includes several synthetic additives such as sodium aluminum phosphate and artificial colors (Yellow 5, Red 40), which raise quality concerns. Additionally, the presence of preservativ	warning	Zerotox/Open Food Facts	The composition includes several synthetic additives such as sodium aluminum phosphate and artificial colors (Yellow 5, Red 40), which raise quality concerns. Additionally, the presence of preservatives like BHT and emulsifiers like mono and diglycerides indicate a highly processed product, contributing to the low rating.
S'mores Brownie Cookie Baking Mix	f	f	The ingredient composition includes several synthetic additives like artificial flavor and titanium dioxide, raising quality and safety concerns. The presence of modified palm oil and wheat protein is	warning	Zerotox/Open Food Facts	The ingredient composition includes several synthetic additives like artificial flavor and titanium dioxide, raising quality and safety concerns. The presence of modified palm oil and wheat protein isolate also indicates a processed nature.
Yellow Cake Mix	f	f	The composition of this cake mix includes enriched bleached wheat flour and sugar, but also contains several synthetic additives such as sodium aluminum phosphate and artificial flavors. These ingredi	warning	Zerotox/Open Food Facts	The composition of this cake mix includes enriched bleached wheat flour and sugar, but also contains several synthetic additives such as sodium aluminum phosphate and artificial flavors. These ingredients raise concerns about the overall quality and safety of the product, indicating a highly processed nature.
Muffin Mix	f	f	The composition of this muffin mix includes several synthetic additives such as artificial flavor and aluminum sulfate, raising significant quality concerns. The presence of palm oil and modified corn	warning	Zerotox/Open Food Facts	The composition of this muffin mix includes several synthetic additives such as artificial flavor and aluminum sulfate, raising significant quality concerns. The presence of palm oil and modified corn starch further indicates a highly processed product.
Muffin mix	f	f	The composition of this muffin mix includes several synthetic additives such as sodium aluminum phosphate and artificial colors like Red 40 Lake. These raise significant quality and safety concerns.	warning	Zerotox/Open Food Facts	The composition of this muffin mix includes several synthetic additives such as sodium aluminum phosphate and artificial colors like Red 40 Lake. These raise significant quality and safety concerns.
Apple Cinnamon Muffin Mix	f	f	The composition includes several synthetic and processed ingredients such as hydrogenated vegetable shortening and artificial flavors, raising quality concerns. The presence of palm oil and preservati	warning	Zerotox/Open Food Facts	The composition includes several synthetic and processed ingredients such as hydrogenated vegetable shortening and artificial flavors, raising quality concerns. The presence of palm oil and preservatives further indicates a highly processed product.
Betty Crocker Salted Caramel Cookie Mix	f	f	The composition includes enriched bleached flour, sugar, and palm oil, which raise concerns about processing and quality. Additionally, the presence of artificial flavors and caramel color indicates a	warning	Zerotox/Open Food Facts	The composition includes enriched bleached flour, sugar, and palm oil, which raise concerns about processing and quality. Additionally, the presence of artificial flavors and caramel color indicates a reliance on synthetic additives, further lowering the overall safety assessment.
Muffin mix	f	f	The composition of this muffin mix includes several synthetic additives such as artificial blueberry bits and preservatives like BHT. The presence of artificial colors (Blue 2 Lake, Red 40 Lake) and m	warning	Zerotox/Open Food Facts	The composition of this muffin mix includes several synthetic additives such as artificial blueberry bits and preservatives like BHT. The presence of artificial colors (Blue 2 Lake, Red 40 Lake) and modified corn starch raises concerns about the overall quality and safety of the product, contributing to a lower rating.
Lemon deluxe moist cake mix	f	f	The composition includes several synthetic additives such as BHT (a preservative) and artificial colors (Yellow 5 and 6), which raise quality concerns. The presence of enriched bleached flour and vege	warning	Zerotox/Open Food Facts	The composition includes several synthetic additives such as BHT (a preservative) and artificial colors (Yellow 5 and 6), which raise quality concerns. The presence of enriched bleached flour and vegetable shortening indicates a highly processed product, contributing to the overall low rating due to potential health implications associated with these ingredients.
Banana nut muffin mix	f	f	The composition includes enriched bleached flour and sugar, which are common in baked goods but raise concerns about processing. Additionally, BHT is used as a preservative, which is synthetic and may	warning	Zerotox/Open Food Facts	The composition includes enriched bleached flour and sugar, which are common in baked goods but raise concerns about processing. Additionally, BHT is used as a preservative, which is synthetic and may pose quality issues. The presence of multiple nut types increases allergen risk, further impacting the safety assessment.
Perfectly Moist Carrot Cake Mix	f	f	The ingredient list includes several synthetic additives such as caramel color and artificial colors (Yellow 5 Lake, Red 40 Lake), raising significant quality concerns. The presence of emulsified palm	warning	Zerotox/Open Food Facts	The ingredient list includes several synthetic additives such as caramel color and artificial colors (Yellow 5 Lake, Red 40 Lake), raising significant quality concerns. The presence of emulsified palm shortening also indicates a processed composition.
Blueberry muffin mix	f	f	The composition includes several synthetic additives such as artificial colors (Red 40 Lake, Blue 2 Lake) and preservatives (TBHQ). These raise significant quality and safety concerns.	warning	Zerotox/Open Food Facts	The composition includes several synthetic additives such as artificial colors (Red 40 Lake, Blue 2 Lake) and preservatives (TBHQ). These raise significant quality and safety concerns.
Strawberry muffin mix	f	f	The composition includes several synthetic additives like partially hydrogenated vegetable shortening and artificial colors (Red 40 Lake, Yellow 6 Lake, Blue 1 Lake), raising significant quality conce	warning	Zerotox/Open Food Facts	The composition includes several synthetic additives like partially hydrogenated vegetable shortening and artificial colors (Red 40 Lake, Yellow 6 Lake, Blue 1 Lake), raising significant quality concerns.
Premium brownie mix, chocolate chunk with walnuts, chocolate chunk with walnuts	f	f	The composition includes several synthetic additives like artificial flavors and preservatives such as BHT, raising significant quality concerns. The presence of partially hydrogenated oils also indic	warning	Zerotox/Open Food Facts	The composition includes several synthetic additives like artificial flavors and preservatives such as BHT, raising significant quality concerns. The presence of partially hydrogenated oils also indicates a highly processed product.
Compost Cookie Mix	f	f	The ingredient composition includes several synthetic additives such as artificial colors (yellow 6 lake, yellow 5 lake, blue 2 lake) and partially hydrogenated oils, raising significant quality conce	warning	Zerotox/Open Food Facts	The ingredient composition includes several synthetic additives such as artificial colors (yellow 6 lake, yellow 5 lake, blue 2 lake) and partially hydrogenated oils, raising significant quality concerns.
Double Chocolate Chip Muffin Mix	f	f	The composition includes several concerning ingredients such as partially hydrogenated soybean oil, which is a source of trans fats, and artificial flavors that raise quality concerns. Additionally, s	warning	Zerotox/Open Food Facts	The composition includes several concerning ingredients such as partially hydrogenated soybean oil, which is a source of trans fats, and artificial flavors that raise quality concerns. Additionally, sodium aluminum phosphate is a synthetic leavening agent that may pose safety issues, contributing to the overall low rating.
Yellow Cake Mix	f	f	The composition of this cake mix includes several synthetic additives such as BHT (a preservative) and artificial colors (Yellow 5, Yellow 6), which raise quality concerns. The presence of palm oil in	warning	Zerotox/Open Food Facts	The composition of this cake mix includes several synthetic additives such as BHT (a preservative) and artificial colors (Yellow 5, Yellow 6), which raise quality concerns. The presence of palm oil in the vegetable shortening also indicates potential environmental issues, contributing to the overall low rating.
Cake mix	f	f	The composition includes several synthetic additives such as BHT and artificial flavor, raising significant quality concerns. The presence of modified corn starch and emulsifiers indicates a highly pr	warning	Zerotox/Open Food Facts	The composition includes several synthetic additives such as BHT and artificial flavor, raising significant quality concerns. The presence of modified corn starch and emulsifiers indicates a highly processed product.
Chocolate nut brownie mix	f	f	The composition includes several synthetic additives like artificial flavors and preservatives such as BHT, raising significant quality concerns. The presence of partially hydrogenated oils also indic	warning	Zerotox/Open Food Facts	The composition includes several synthetic additives like artificial flavors and preservatives such as BHT, raising significant quality concerns. The presence of partially hydrogenated oils also indicates a highly processed product.
Classic Cake Mix	f	f	The composition includes several synthetic additives like artificial flavor and sodium lauryl sulfate, raising significant quality and safety concerns. The presence of refined sugar and enriched bleac	warning	Zerotox/Open Food Facts	The composition includes several synthetic additives like artificial flavor and sodium lauryl sulfate, raising significant quality and safety concerns. The presence of refined sugar and enriched bleached flour further indicates a highly processed product.
Chewy fudge brownie mix	f	f	The composition includes several synthetic additives like artificial flavor and carrageenan, which raise quality concerns. The presence of palm oil and dextrose further indicates a highly processed pr	warning	Zerotox/Open Food Facts	The composition includes several synthetic additives like artificial flavor and carrageenan, which raise quality concerns. The presence of palm oil and dextrose further indicates a highly processed product.
Classic White Cake Mix	f	f	The composition includes several synthetic additives such as artificial flavor and preservatives like BHT, which raise quality concerns. The presence of modified corn starch and emulsifiers indicates 	warning	Zerotox/Open Food Facts	The composition includes several synthetic additives such as artificial flavor and preservatives like BHT, which raise quality concerns. The presence of modified corn starch and emulsifiers indicates a highly processed product, contributing to the low rating due to potential health implications associated with these ingredients.
Brownie Mix	f	f	The composition of this brownie mix includes several concerning ingredients such as partially hydrogenated vegetable shortening, which raises health concerns due to trans fats, and artificial flavor, 	warning	Zerotox/Open Food Facts	The composition of this brownie mix includes several concerning ingredients such as partially hydrogenated vegetable shortening, which raises health concerns due to trans fats, and artificial flavor, indicating synthetic processing. These factors contribute to a lower safety and quality rating.
Muffin Mix	f	f	The composition of this muffin mix includes several synthetic additives such as BHT and artificial flavors, raising significant quality concerns. The presence of animal shortening and gelatin indicate	warning	Zerotox/Open Food Facts	The composition of this muffin mix includes several synthetic additives such as BHT and artificial flavors, raising significant quality concerns. The presence of animal shortening and gelatin indicates animal-derived ingredients, which may not suit all dietary preferences.
Chocolate Chip Cookie Mix	f	f	The composition includes several synthetic additives like artificial flavor and partially hydrogenated oils, raising significant quality and safety concerns. Ingredients like sodium aluminum phosphate	warning	Zerotox/Open Food Facts	The composition includes several synthetic additives like artificial flavor and partially hydrogenated oils, raising significant quality and safety concerns. Ingredients like sodium aluminum phosphate and caramel color also indicate a highly processed product.
BLUEBERRY CHEESECAKE MUFFIN MIX	f	f	The composition of this muffin mix includes several synthetic and processed ingredients, such as artificial blueberry bits and artificial colors like Red 40 Lake and Blue 2 Lake. These additives raise	warning	Zerotox/Open Food Facts	The composition of this muffin mix includes several synthetic and processed ingredients, such as artificial blueberry bits and artificial colors like Red 40 Lake and Blue 2 Lake. These additives raise quality concerns due to their synthetic nature, contributing to the overall low rating.
Classic yellow cake mix	f	f	The composition includes several synthetic additives such as artificial flavor and colorants (Yellow 5, Red 40), which raise quality concerns. The presence of emulsified palm shortening also indicates	warning	Zerotox/Open Food Facts	The composition includes several synthetic additives such as artificial flavor and colorants (Yellow 5, Red 40), which raise quality concerns. The presence of emulsified palm shortening also indicates a processed nature.
